reference;price;quantity
000339;49.9909;0
000342;54.4545;0
000343;54.4545;0
000344;54.4545;0
000345;54.4545;108
000346;54.4545;0
000347;54.4545;60
000348;54.4545;0
000349;54.4545;123
000350;54.4545;0
000351;54.4545;15
000352;54.4545;0
000353;54.4545;0
000354;54.4545;70
000356;30.4727;5
000357;30.4727;9
000358;30.4727;0
000359;30.4727;0
000360;30.4727;0
000361;30.4727;3
000362;30.4727;3
000363;30.4727;7
000364;30.4727;0
000365;30.4727;4
000366;30.4727;6
000370;29.0818;0
000371;29.0818;1
000372;29.0818;0
000373;29.0818;0
000376;32.7182;0
000377;32.7182;0
000378;32.7182;0
000386;45.3636;0
000388;45.3636;0
000389;45.3636;0
000390;45.3636;0
000391;45.3636;0
000405;18.1727;0
000406;18.1727;0
000410;29.9909;0
000411;29.9909;0
000413;17.2636;3
000414;17.2636;0
000415;17.2636;12
10017084;9.968205;0
000418;26.3545;0
000419;26.3545;0
000420;26.3545;0
000422;26.3545;0
000423;26.3545;0
000424;26.3545;0
000425;95.4364;5
000426;95.4364;3
000427;95.4364;0
000428;95.4364;4
000429;95.4364;0
000430;95.4364;8
000431;95.4364;7
000432;95.4364;7
000433;95.4364;0
000434;95.4364;0
000435;95.4364;6
000436;51.3818;6
000437;51.3818;6
000438;51.3818;0
000439;51.3818;0
000440;51.3818;5
000441;51.3818;0
000442;51.3818;9
000443;51.3818;9
000444;51.3818;0
000445;51.3818;0
000446;51.3818;0
000447;51.3818;5
000448;51.3818;8
000449;99.9;0
000450;99.9;18
000451;99.9;0
000452;99.9;0
000453;99.9;17
000486;33.6273;0
000498;41.8091;0
000499;41.8091;0
000500;41.8091;0
10015861;41.8091;0
000506;40.9;0
000507;40.9;0
000508;40.9;0
000509;40.9;0
000510;40.9;0
000516;46.3545;0
000517;46.3545;0
000518;46.3545;0
000519;46.3545;0
000520;46.3545;0
000521;46.3545;0
000522;36.3545;0
000523;36.3545;2
000540;39.0818;0
000541;39.0818;0
000542;39.0818;0
000543;39.0818;0
000544;39.0818;0
000545;39.0818;0
000546;39.0818;0
000547;39;0
000548;39;0
000549;39;0
000550;54.5364;0
000551;54.5364;0
000552;54.5364;0
000553;54.5364;0
000554;54.5364;0
000572;25.4364;2
000573;25.4364;2
000580;9.0818;0
000596;22.7182;0
000597;22.7182;0
000598;37.2636;0
000599;36.3545;0
000600;36.3545;0
000601;36.3545;0
000605;34.5364;0
000606;34.5364;0
000607;34.5364;0
000608;77.2636;0
000609;77.2636;0
000617;79.0818;0
000618;79.0818;0
000619;79.0818;0
000620;79.0818;0
000621;79.0818;0
000622;79.0818;0
000623;79.0818;0
000624;79.0818;0
000628;32;0
000629;32;1
000630;32;3
000631;37.0909;6
000632;37.0909;3
000633;37.0909;6
000634;17.1818;0
000635;17.1818;0
000636;65;0
000637;65;0
000654;22.7182;0
000655;22.7182;0
